1	42.344
2	28.851
3	21.946
4	19.748
5	18.798
6	26.002
7	33.750
8	40.358
9	46.188
10	51.733
11	57.566
12	63.651
13	66.274
14	70.007
15	72.627
16	77.438
17	85.896
18	95.127
1	42.224
2	28.836
3	21.879
4	20.182
5	18.558
6	26.042
7	33.684
8	40.637
9	46.455
10	51.897
11	57.335
12	63.949
13	68.343
14	69.359
15	72.022
16	78.212
17	86.867
18	95.006
1	42.345
2	28.884
3	21.810
4	20.172
5	18.710
6	25.873
7	34.438
8	40.910
9	45.933
10	51.772
11	57.423
12	63.613
13	67.662
14	70.313
15	71.894
1	42.338
2	28.781
3	21.761
4	19.844
5	18.645
6	26.383
7	35.296
8	40.154
1	42.357
2	28.779
3	21.901
4	20.017
5	18.695
6	25.757
7	33.794
8	39.980
1	42.241
2	28.604
3	21.749
4	19.342
5	18.550
6	26.049
