1	43.286
2	21.961
3	14.687
4	10.948
5	8.859
6	7.374
7	6.366
8	5.635
9	5.009
10	4.589
11	4.185
12	3.840
13	3.617
14	3.383
15	3.196
16	3.136
17	21.086
18	21.980
19	22.709
20	23.120
1	43.144
2	21.751
3	14.539
4	11.010
5	8.795
6	7.434
7	6.382
8	5.637
9	5.010
10	4.560
11	4.158
12	3.869
13	3.610
14	3.379
15	3.183
16	3.199
17	20.299
18	21.130
19	21.848
20	23.451
1	43.085
2	21.763
3	14.534
4	10.941
5	8.781
6	7.423
7	6.373
8	5.618
9	4.986
10	4.540
11	4.184
12	3.853
13	3.600
14	3.398
15	3.184
16	3.068
17	19.722
18	21.244
19	22.181
20	23.093
1	43.127
2	21.762
3	14.547
4	10.929
5	8.884
6	7.422
7	6.357
8	5.678
9	5.027
10	4.596
11	4.153
12	3.883
13	3.631
14	3.395
15	3.253
16	3.123
17	20.315
18	20.789
19	20.998
20	20.382
